rate_code_id,RatecodeID,rate_code_name
0,1,Standard rate
1,1,Standard rate
2,1,Standard rate
3,1,Standard rate
4,3,Newark
5,1,Standard rate
6,1,Standard rate
7,1,Standard rate
8,1,Standard rate
9,1,Standard rate
10,1,Standard rate
11,1,Standard rate
12,1,Standard rate
13,1,Standard rate
14,1,Standard rate
15,1,Standard rate
16,1,Standard rate
17,1,Standard rate
18,2,JFK
19,1,Standard rate
20,1,Standard rate
21,1,Standard rate
22,1,Standard rate
23,1,Standard rate
24,1,Standard rate
25,1,Standard rate
26,1,Standard rate
27,1,Standard rate
28,2,JFK
29,1,Standard rate
30,1,Standard rate
31,1,Standard rate
32,1,Standard rate
33,1,Standard rate
34,1,Standard rate
35,1,Standard rate
36,1,Standard rate
37,1,Standard rate
38,1,Standard rate
39,1,Standard rate
40,1,Standard rate
41,1,Standard rate
42,1,Standard rate
43,1,Standard rate
44,1,Standard rate
45,1,Standard rate
46,1,Standard rate
47,1,Standard rate
48,1,Standard rate
49,1,Standard rate
50,1,Standard rate
51,1,Standard rate
52,1,Standard rate
53,1,Standard rate
54,1,Standard rate
55,1,Standard rate
56,1,Standard rate
57,1,Standard rate
58,1,Standard rate
59,1,Standard rate
60,1,Standard rate
61,1,Standard rate
62,1,Standard rate
63,1,Standard rate
64,2,JFK
65,1,Standard rate
66,1,Standard rate
67,1,Standard rate
68,1,Standard rate
69,1,Standard rate
70,1,Standard rate
71,1,Standard rate
72,1,Standard rate
73,1,Standard rate
74,1,Standard rate
75,1,Standard rate
76,1,Standard rate
77,1,Standard rate
78,1,Standard rate
79,1,Standard rate
80,1,Standard rate
81,1,Standard rate
82,1,Standard rate
83,1,Standard rate
84,1,Standard rate
85,1,Standard rate
86,1,Standard rate
87,1,Standard rate
88,1,Standard rate
89,1,Standard rate
90,1,Standard rate
91,1,Standard rate
92,1,Standard rate
93,1,Standard rate
94,1,Standard rate
95,1,Standard rate
96,1,Standard rate
97,1,Standard rate
98,1,Standard rate
99,1,Standard rate
100,1,Standard rate
101,1,Standard rate
102,1,Standard rate
103,1,Standard rate
104,1,Standard rate
105,1,Standard rate
106,1,Standard rate
107,1,Standard rate
108,1,Standard rate
109,1,Standard rate
110,1,Standard rate
111,1,Standard rate
112,1,Standard rate
113,1,Standard rate
114,1,Standard rate
115,1,Standard rate
116,1,Standard rate
117,1,Standard rate
118,1,Standard rate
119,1,Standard rate
120,1,Standard rate
121,1,Standard rate
122,1,Standard rate
123,1,Standard rate
124,1,Standard rate
125,1,Standard rate
126,1,Standard rate
127,1,Standard rate
128,1,Standard rate
129,5,Negotiated fare
130,1,Standard rate
131,2,JFK
132,1,Standard rate
133,1,Standard rate
134,1,Standard rate
135,2,JFK
136,1,Standard rate
137,1,Standard rate
138,1,Standard rate
139,1,Standard rate
140,1,Standard rate
141,1,Standard rate
142,1,Standard rate
143,1,Standard rate
144,1,Standard rate
145,1,Standard rate
146,1,Standard rate
147,1,Standard rate
148,2,JFK
149,1,Standard rate
150,1,Standard rate
151,1,Standard rate
152,1,Standard rate
153,1,Standard rate
154,1,Standard rate
155,1,Standard rate
156,1,Standard rate
157,1,Standard rate
158,1,Standard rate
159,1,Standard rate
160,1,Standard rate
161,1,Standard rate
162,1,Standard rate
163,1,Standard rate
164,1,Standard rate
165,1,Standard rate
166,1,Standard rate
167,1,Standard rate
168,1,Standard rate
169,1,Standard rate
170,2,JFK
171,1,Standard rate
172,1,Standard rate
173,1,Standard rate
174,1,Standard rate
175,1,Standard rate
176,1,Standard rate
177,1,Standard rate
178,1,Standard rate
179,1,Standard rate
180,1,Standard rate
181,1,Standard rate
182,1,Standard rate
183,1,Standard rate
184,1,Standard rate
185,1,Standard rate
186,1,Standard rate
187,1,Standard rate
188,1,Standard rate
189,1,Standard rate
190,1,Standard rate
191,1,Standard rate
192,1,Standard rate
193,1,Standard rate
194,1,Standard rate
195,1,Standard rate
196,1,Standard rate
197,1,Standard rate
198,1,Standard rate
199,1,Standard rate
200,1,Standard rate
201,1,Standard rate
202,1,Standard rate
203,1,Standard rate
204,1,Standard rate
205,1,Standard rate
206,1,Standard rate
207,1,Standard rate
208,1,Standard rate
209,1,Standard rate
210,1,Standard rate
211,1,Standard rate
212,1,Standard rate
213,1,Standard rate
214,1,Standard rate
215,5,Negotiated fare
216,1,Standard rate
217,1,Standard rate
218,2,JFK
219,1,Standard rate
220,1,Standard rate
221,1,Standard rate
222,1,Standard rate
223,1,Standard rate
224,1,Standard rate
225,1,Standard rate
226,1,Standard rate
227,1,Standard rate
228,1,Standard rate
229,1,Standard rate
230,1,Standard rate
231,2,JFK
232,1,Standard rate
233,1,Standard rate
234,1,Standard rate
235,1,Standard rate
236,1,Standard rate
237,1,Standard rate
238,1,Standard rate
239,1,Standard rate
240,1,Standard rate
241,1,Standard rate
242,1,Standard rate
243,1,Standard rate
244,1,Standard rate
245,1,Standard rate
246,1,Standard rate
247,1,Standard rate
248,1,Standard rate
249,1,Standard rate
250,1,Standard rate
251,1,Standard rate
252,1,Standard rate
253,1,Standard rate
254,1,Standard rate
255,1,Standard rate
256,1,Standard rate
257,2,JFK
258,1,Standard rate
259,1,Standard rate
260,1,Standard rate
261,1,Standard rate
262,1,Standard rate
263,1,Standard rate
264,1,Standard rate
265,1,Standard rate
266,1,Standard rate
267,1,Standard rate
268,1,Standard rate
269,1,Standard rate
270,1,Standard rate
271,1,Standard rate
272,1,Standard rate
273,1,Standard rate
274,1,Standard rate
275,1,Standard rate
276,1,Standard rate
277,1,Standard rate
278,1,Standard rate
279,1,Standard rate
280,1,Standard rate
281,1,Standard rate
282,1,Standard rate
283,1,Standard rate
284,1,Standard rate
285,1,Standard rate
286,1,Standard rate
287,1,Standard rate
288,1,Standard rate
289,1,Standard rate
290,1,Standard rate
291,1,Standard rate
292,1,Standard rate
293,1,Standard rate
294,1,Standard rate
295,1,Standard rate
296,1,Standard rate
297,1,Standard rate
298,1,Standard rate
299,1,Standard rate
300,1,Standard rate
301,1,Standard rate
302,1,Standard rate
303,1,Standard rate
304,1,Standard rate
305,1,Standard rate
306,1,Standard rate
307,1,Standard rate
308,1,Standard rate
309,1,Standard rate
310,1,Standard rate
311,1,Standard rate
312,1,Standard rate
313,1,Standard rate
314,1,Standard rate
315,1,Standard rate
316,1,Standard rate
317,1,Standard rate
318,1,Standard rate
319,1,Standard rate
320,1,Standard rate
321,1,Standard rate
322,1,Standard rate
323,1,Standard rate
324,1,Standard rate
325,1,Standard rate
326,1,Standard rate
327,1,Standard rate
328,2,JFK
329,1,Standard rate
330,1,Standard rate
331,1,Standard rate
332,1,Standard rate
333,1,Standard rate
334,1,Standard rate
335,1,Standard rate
336,1,Standard rate
337,1,Standard rate
338,1,Standard rate
339,1,Standard rate
340,1,Standard rate
341,1,Standard rate
342,1,Standard rate
343,1,Standard rate
344,1,Standard rate
345,1,Standard rate
346,1,Standard rate
347,1,Standard rate
348,1,Standard rate
349,1,Standard rate
350,1,Standard rate
351,2,JFK
352,1,Standard rate
353,2,JFK
354,1,Standard rate
355,1,Standard rate
356,1,Standard rate
357,1,Standard rate
358,1,Standard rate
359,1,Standard rate
360,1,Standard rate
361,1,Standard rate
362,1,Standard rate
363,1,Standard rate
364,1,Standard rate
365,1,Standard rate
366,1,Standard rate
367,1,Standard rate
368,1,Standard rate
369,1,Standard rate
370,1,Standard rate
371,1,Standard rate
372,1,Standard rate
373,1,Standard rate
374,1,Standard rate
375,1,Standard rate
376,1,Standard rate
377,1,Standard rate
378,1,Standard rate
379,1,Standard rate
380,1,Standard rate
381,1,Standard rate
382,1,Standard rate
383,1,Standard rate
384,1,Standard rate
385,1,Standard rate
386,1,Standard rate
387,1,Standard rate
388,1,Standard rate
389,1,Standard rate
390,1,Standard rate
391,1,Standard rate
392,1,Standard rate
393,1,Standard rate
394,1,Standard rate
395,1,Standard rate
396,1,Standard rate
397,1,Standard rate
398,1,Standard rate
399,1,Standard rate
400,1,Standard rate
401,1,Standard rate
402,1,Standard rate
403,1,Standard rate
404,1,Standard rate
405,1,Standard rate
406,1,Standard rate
407,1,Standard rate
408,1,Standard rate
409,1,Standard rate
410,1,Standard rate
411,1,Standard rate
412,1,Standard rate
413,2,JFK
414,1,Standard rate
415,1,Standard rate
416,1,Standard rate
417,1,Standard rate
418,1,Standard rate
419,1,Standard rate
420,1,Standard rate
421,1,Standard rate
422,1,Standard rate
423,2,JFK
424,1,Standard rate
425,1,Standard rate
426,1,Standard rate
427,2,JFK
428,1,Standard rate
429,1,Standard rate
430,1,Standard rate
431,1,Standard rate
432,1,Standard rate
433,1,Standard rate
434,1,Standard rate
435,1,Standard rate
436,2,JFK
437,1,Standard rate
438,1,Standard rate
439,1,Standard rate
440,1,Standard rate
441,1,Standard rate
442,1,Standard rate
443,1,Standard rate
444,1,Standard rate
445,1,Standard rate
446,1,Standard rate
447,1,Standard rate
448,1,Standard rate
449,1,Standard rate
450,1,Standard rate
451,1,Standard rate
452,1,Standard rate
453,1,Standard rate
454,1,Standard rate
455,1,Standard rate
456,1,Standard rate
457,1,Standard rate
458,1,Standard rate
459,2,JFK
460,1,Standard rate
461,1,Standard rate
462,3,Newark
463,1,Standard rate
464,1,Standard rate
465,1,Standard rate
466,1,Standard rate
467,1,Standard rate
468,1,Standard rate
469,1,Standard rate
470,1,Standard rate
471,1,Standard rate
472,1,Standard rate
473,1,Standard rate
474,1,Standard rate
475,1,Standard rate
476,1,Standard rate
477,2,JFK
478,3,Newark
479,1,Standard rate
480,1,Standard rate
481,1,Standard rate
482,1,Standard rate
483,1,Standard rate
484,1,Standard rate
485,1,Standard rate
486,1,Standard rate
487,1,Standard rate
488,1,Standard rate
489,1,Standard rate
490,1,Standard rate
491,1,Standard rate
492,1,Standard rate
493,1,Standard rate
494,1,Standard rate
495,1,Standard rate
496,1,Standard rate
497,1,Standard rate
498,1,Standard rate
499,1,Standard rate
500,1,Standard rate
501,1,Standard rate
502,1,Standard rate
503,1,Standard rate
504,1,Standard rate
505,1,Standard rate
506,1,Standard rate
507,1,Standard rate
508,1,Standard rate
509,1,Standard rate
510,1,Standard rate
511,1,Standard rate
512,1,Standard rate
513,2,JFK
514,1,Standard rate
515,1,Standard rate
516,1,Standard rate
517,1,Standard rate
518,1,Standard rate
519,1,Standard rate
520,1,Standard rate
521,2,JFK
522,1,Standard rate
523,1,Standard rate
524,1,Standard rate
525,1,Standard rate
526,1,Standard rate
527,1,Standard rate
528,1,Standard rate
529,1,Standard rate
530,1,Standard rate
531,1,Standard rate
532,1,Standard rate
533,1,Standard rate
534,1,Standard rate
535,1,Standard rate
536,1,Standard rate
537,1,Standard rate
538,1,Standard rate
539,1,Standard rate
540,1,Standard rate
541,1,Standard rate
542,2,JFK
543,2,JFK
544,1,Standard rate
545,1,Standard rate
546,1,Standard rate
547,1,Standard rate
548,1,Standard rate
549,1,Standard rate
550,1,Standard rate
551,1,Standard rate
552,1,Standard rate
553,1,Standard rate
554,1,Standard rate
555,1,Standard rate
556,1,Standard rate
557,1,Standard rate
558,1,Standard rate
559,1,Standard rate
560,1,Standard rate
561,1,Standard rate
562,1,Standard rate
563,1,Standard rate
564,1,Standard rate
565,1,Standard rate
566,1,Standard rate
567,1,Standard rate
568,1,Standard rate
569,1,Standard rate
570,1,Standard rate
571,1,Standard rate
572,1,Standard rate
573,1,Standard rate
574,1,Standard rate
575,1,Standard rate
576,1,Standard rate
577,1,Standard rate
578,1,Standard rate
579,1,Standard rate
580,1,Standard rate
581,1,Standard rate
582,1,Standard rate
583,5,Negotiated fare
584,1,Standard rate
585,1,Standard rate
586,1,Standard rate
587,1,Standard rate
588,1,Standard rate
589,1,Standard rate
590,1,Standard rate
591,1,Standard rate
592,1,Standard rate
593,1,Standard rate
594,2,JFK
595,1,Standard rate
596,1,Standard rate
597,1,Standard rate
598,1,Standard rate
599,1,Standard rate
600,1,Standard rate
601,1,Standard rate
602,1,Standard rate
603,1,Standard rate
604,1,Standard rate
605,1,Standard rate
606,1,Standard rate
607,1,Standard rate
608,1,Standard rate
609,2,JFK
610,1,Standard rate
611,2,JFK
612,1,Standard rate
613,1,Standard rate
614,1,Standard rate
615,1,Standard rate
616,1,Standard rate
617,1,Standard rate
618,1,Standard rate
619,1,Standard rate
620,1,Standard rate
621,1,Standard rate
622,1,Standard rate
623,1,Standard rate
624,1,Standard rate
625,2,JFK
626,2,JFK
627,1,Standard rate
628,1,Standard rate
629,1,Standard rate
630,1,Standard rate
631,1,Standard rate
632,1,Standard rate
633,1,Standard rate
634,1,Standard rate
635,1,Standard rate
636,1,Standard rate
637,1,Standard rate
638,1,Standard rate
639,1,Standard rate
640,1,Standard rate
641,1,Standard rate
642,1,Standard rate
643,2,JFK
644,1,Standard rate
645,1,Standard rate
646,1,Standard rate
647,1,Standard rate
648,1,Standard rate
649,1,Standard rate
650,1,Standard rate
651,1,Standard rate
652,1,Standard rate
653,1,Standard rate
654,1,Standard rate
655,1,Standard rate
656,1,Standard rate
657,1,Standard rate
658,1,Standard rate
659,1,Standard rate
660,2,JFK
661,1,Standard rate
662,1,Standard rate
663,1,Standard rate
664,1,Standard rate
665,1,Standard rate
666,1,Standard rate
667,1,Standard rate
668,1,Standard rate
669,1,Standard rate
670,1,Standard rate
671,1,Standard rate
672,1,Standard rate
673,1,Standard rate
674,1,Standard rate
675,2,JFK
676,1,Standard rate
677,1,Standard rate
678,1,Standard rate
679,1,Standard rate
680,1,Standard rate
681,1,Standard rate
682,1,Standard rate
683,1,Standard rate
684,1,Standard rate
685,1,Standard rate
686,1,Standard rate
687,1,Standard rate
688,1,Standard rate
689,1,Standard rate
690,1,Standard rate
691,1,Standard rate
692,1,Standard rate
693,1,Standard rate
694,1,Standard rate
695,1,Standard rate
696,1,Standard rate
697,1,Standard rate
698,1,Standard rate
699,1,Standard rate
700,1,Standard rate
701,1,Standard rate
702,1,Standard rate
703,1,Standard rate
704,1,Standard rate
705,1,Standard rate
706,1,Standard rate
707,1,Standard rate
708,1,Standard rate
709,1,Standard rate
710,1,Standard rate
711,1,Standard rate
712,1,Standard rate
713,1,Standard rate
714,1,Standard rate
715,1,Standard rate
716,1,Standard rate
717,1,Standard rate
718,1,Standard rate
719,1,Standard rate
720,1,Standard rate
721,1,Standard rate
722,1,Standard rate
723,1,Standard rate
724,1,Standard rate
725,1,Standard rate
726,1,Standard rate
727,1,Standard rate
728,1,Standard rate
729,1,Standard rate
730,1,Standard rate
731,1,Standard rate
732,1,Standard rate
733,1,Standard rate
734,1,Standard rate
735,1,Standard rate
736,1,Standard rate
737,1,Standard rate
738,1,Standard rate
739,1,Standard rate
740,1,Standard rate
741,1,Standard rate
742,1,Standard rate
743,1,Standard rate
744,1,Standard rate
745,1,Standard rate
746,1,Standard rate
747,1,Standard rate
748,1,Standard rate
749,1,Standard rate
750,1,Standard rate
751,1,Standard rate
752,1,Standard rate
753,1,Standard rate
754,1,Standard rate
755,1,Standard rate
756,1,Standard rate
757,1,Standard rate
758,1,Standard rate
759,1,Standard rate
760,1,Standard rate
761,1,Standard rate
762,1,Standard rate
763,1,Standard rate
764,1,Standard rate
765,1,Standard rate
766,1,Standard rate
767,1,Standard rate
768,1,Standard rate
769,1,Standard rate
770,2,JFK
771,2,JFK
772,1,Standard rate
773,1,Standard rate
774,1,Standard rate
775,1,Standard rate
776,1,Standard rate
777,1,Standard rate
778,1,Standard rate
779,1,Standard rate
780,1,Standard rate
781,1,Standard rate
782,1,Standard rate
783,1,Standard rate
784,1,Standard rate
785,1,Standard rate
786,1,Standard rate
787,1,Standard rate
788,1,Standard rate
789,1,Standard rate
790,1,Standard rate
791,1,Standard rate
792,1,Standard rate
793,1,Standard rate
794,1,Standard rate
