trip_distance_id,trip_distance
0,2.5
1,2.9
2,19.98
3,10.78
4,30.43
5,5.92
6,5.72
7,6.2
8,0.7
9,7.18
10,0.54
11,1.7
12,1.1
13,2.1
14,8.54
15,2.0
16,3.2
17,1.59
18,16.81
19,0.5
20,0.6
21,9.9
22,0.8
23,0.49
24,5.31
25,3.5
26,9.14
27,2.17
28,18.03
29,1.0
30,11.53
31,4.26
32,2.66
33,1.7
34,2.4
35,1.0
36,3.7
37,1.3
38,9.2
39,0.79
40,0.95
41,6.9
42,4.26
43,3.11
44,3.8
45,2.8
46,1.21
47,1.31
48,2.7
49,5.39
50,2.82
51,2.07
52,7.7
53,5.1
54,3.34
55,2.69
56,0.71
57,1.42
58,4.28
59,1.84
60,3.95
61,3.65
62,9.46
63,0.48
64,19.35
65,11.25
66,2.2
67,4.65
68,1.8
69,10.34
70,1.1
71,6.8
72,1.4
73,6.3
74,5.52
75,0.6
76,3.4
77,9.79
78,1.04
79,10.2
80,2.54
81,1.32
82,1.51
83,1.4
84,1.3
85,1.16
86,0.89
87,7.06
88,5.57
89,0.99
90,0.6
91,2.81
92,2.45
93,2.61
94,1.0
95,0.73
96,1.92
97,3.25
98,4.83
99,2.46
100,2.8
101,0.8
102,2.85
103,4.33
104,5.06
105,0.54
106,1.1
107,9.5
108,0.55
109,1.5
110,2.4
111,1.2
112,5.4
113,1.43
114,2.99
115,0.46
116,2.91
117,3.4
118,0.9
119,1.32
120,1.0
121,4.76
122,4.51
123,1.42
124,2.3
125,0.5
126,5.66
127,1.47
128,2.8
129,18.34
130,1.74
131,20.2
132,0.9
133,3.37
134,1.2
135,18.95
136,2.5
137,3.32
138,3.9
139,0.2
140,2.81
141,7.91
142,2.9
143,10.0
144,1.07
145,9.1
146,0.5
147,0.7
148,18.9
149,0.7
150,1.47
151,0.58
152,2.59
153,5.98
154,1.1
155,0.42
156,9.55
157,0.35
158,8.97
159,3.49
160,1.53
161,3.77
162,0.9
163,0.7
164,1.65
165,2.46
166,1.96
167,1.6
168,5.14
169,2.51
170,18.3
171,3.3
172,3.2
173,0.93
174,3.22
175,2.23
176,4.44
177,11.43
178,1.0
179,1.37
180,2.38
181,0.73
182,0.79
183,1.91
184,2.31
185,0.49
186,1.07
187,1.33
188,1.42
189,4.09
190,4.14
191,6.94
192,0.92
193,1.4
194,2.36
195,1.56
196,2.3
197,2.19
198,3.87
199,1.13
200,1.19
201,1.22
202,1.5
203,1.03
204,0.85
205,4.94
206,1.15
207,1.15
208,2.77
209,2.72
210,0.41
211,1.47
212,0.75
213,1.62
214,0.88
215,4.84
216,0.49
217,0.3
218,17.49
219,1.96
220,1.16
221,1.63
222,1.02
223,3.17
224,11.15
225,1.0
226,12.59
227,2.67
228,1.0
229,0.83
230,0.53
231,18.04
232,3.28
233,2.05
